x;Own;IntentToBuy;BrandAwareness_Anker;BrandAwareness_Bose;BrandAwareness_JBL;BrandAwareness_Philips;BrandAwareness_Sony;BrandAwareness_UE;BrandAwareness_HarmanKardon;BrandAwareness_Beats;BrandAwareness_None;SubjKnow_r1;SubjKnow_r2;SubjKnow_r3;SubjKnow_r4;SubjKnow_r5;PII_1;PII_2;PII_3;PII_4;PII_5;RelImp_battery;RelImp_weight;RelImp_price;RelImp_sound;Gender;Age;Occupation;Education;Income;brand_awareness;fa;fa2;factor_price.sound;factor_battery;factor_weight;factor_age.occupation.income.education;clusters
39;0;0;0;0;0;0;0;0;0;1;0;2;2;1;2;2;4;4;4;4;4;10;10;50;30;1;2;3;3;2;2;-1.296469752;-0.213593357;0.952346249;-1.037751629;-0.190903796;-0.63209744;1
40;1;0;0;1;0;1;0;0;1;0;0;5;2;2;4;3;2;3;2;2;3;30;30;30;10;1;3;3;4;3;4;-0.301905126;-1.430247098;0.789662867;0.569174192;1.912317696;-0.058654807;1
41;0;1;1;1;1;1;1;0;0;0;0;4;5;4;6;5;5;5;5;5;5;20;10;50;20;1;2;3;3;1;6;0.555335817;0.510087719;1.246327494;-0.259602408;-0.174041721;-0.857463289;2
43;1;0;0;1;0;0;0;0;1;0;0;5;6;5;6;6;2;2;3;2;4;30;10;30;30;2;4;1;4;3;3;1.127524108;-1.363001232;0.234489131;0.493808705;-0.154775343;0.766194166;4
44;0;0;0;0;0;0;0;0;0;0;1;2;4;2;4;2;4;4;3;1;4;0;0;100;0;2;6;2;2;2;1;-0.846346657;-0.929229475;3.645327157;-1.791738324;-1.247323147;0.292761917;3
45;0;0;0;0;0;0;0;0;0;0;1;3;6;2;5;2;3;4;4;3;4;80;10;10;0;1;8;1;4;2;1;-0.351035491;-0.540752635;0.398575751;4.359816702;-0.068060663;1.305727567;3
46;0;0;0;1;1;0;0;0;0;0;0;4;5;2;4;4;4;4;5;5;4;30;20;10;40;1;3;1;4;5;3;0.061334103;0.135494273;-0.793743609;0.506753341;0.881175479;1.025701051;3
47;1;0;0;0;0;1;1;0;0;0;0;5;5;2;6;4;4;1;4;4;1;42;6;2;50;1;4;1;4;7;3;0.409997563;-0.905718593;-1.351915573;1.377881321;-0.544593436;1.66765756;3
48;0;0;1;1;1;1;1;1;1;1;0;6;5;4;7;6;1;2;1;1;1;20;20;0;60;2;3;4;3;7;9;1.220364364;-2.219998619;-1.740634659;-0.283764934;0.865515555;0.369144535;4
49;0;0;0;1;1;0;1;0;0;1;0;4;5;4;4;3;4;5;3;4;1;20;10;30;40;2;2;3;2;2;5;-0.025272979;-0.412980114;-0.059492114;-0.284340516;-0.171637418;-0.788949413;4
50;1;1;0;1;1;1;1;0;1;1;0;2;4;2;6;4;3;3;3;3;4;20;10;20;50;2;2;3;4;2;7;-0.265737861;-0.871203988;-0.712401918;-0.29670957;-0.170435267;-0.475245468;2
51;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;5;3;5;5;3;20;10;35;35;2;3;1;3;4;1;-1.807134732;0.048670895;0.266962788;-0.278155989;-0.172238494;0.64348323;3
52;1;0;0;1;1;0;0;0;1;0;0;2;6;4;7;5;6;6;6;6;7;10;20;20;50;1;3;3;4;4;4;0.374911559;1.29983924;-0.728796296;-1.037176047;0.846249177;0.166711042;1
53;0;0;0;0;0;0;1;0;0;0;0;2;1;3;4;2;3;4;3;3;6;20;30;25;25;1;2;3;3;2;2;-1.125770944;-0.574425131;0.16922672;-0.215159556;1.896056697;-0.63209744;1
54;0;0;0;0;0;0;0;0;0;0;1;5;5;1;5;5;5;4;6;5;3;15;15;30;40;2;3;1;3;5;1;0.477477264;0.379122248;-0.067689303;-0.654573755;0.336704804;0.868849078;3
55;0;1;1;1;1;1;1;0;1;1;0;2;5;3;5;6;5;4;4;4;5;35;10;20;35;2;2;3;3;2;8;0.248091369;-0.003637878;-0.27143005;0.870514261;-0.145142154;-0.63209744;2
56;0;1;1;1;0;0;0;0;0;1;0;5;5;2;6;6;5;4;5;4;5;25;10;15;50;2;3;3;4;4;4;0.829304974;0.162175508;-0.891866198;0.086180513;-0.161403153;0.166711042;2
57;0;1;0;1;0;0;0;0;1;0;0;3;2;3;4;5;4;7;4;5;6;20;20;10;50;1;2;3;3;6;3;-0.195798553;0.595735676;-1.087724855;-0.27139588;0.864313404;0.269365954;2
58;0;0;0;1;0;0;0;0;0;0;0;2;2;1;4;2;1;4;2;2;2;35;10;30;25;2;3;3;3;2;2;-1.135168367;-1.475564611;0.381479754;0.882883315;-0.146344305;-0.440872628;4
59;0;0;0;1;0;1;1;0;0;1;0;2;2;1;4;2;3;3;3;3;3;30;10;30;30;1;2;3;3;1;5;-1.135168367;-0.937274433;0.234489131;0.493808705;-0.154775343;-0.857463289;1
