"","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","Age","Occupation","Education","Income","brand_awareness","fa","fa2","factor_price.sound","factor_battery","factor_weight","factor_age.occupation.income.education","clusters"
"66",0,0,0,1,0,1,1,1,0,1,0,2,2,2,3,2,5,4,5,5,5,25,5,35,35,2,2,3,2,1,6,-1.1542957482699,0.345449752298677,0.275159976818168,0.0920772493650633,-0.680580715658964,-0.928166497430931,4
"67",1,0,0,1,0,1,1,0,0,1,0,4,5,1,4,5,4,4,4,5,3,10,0,90,0,2,3,1,3,2,5,0.209464497111544,-0.096389559082638,3.286398598192,-1.02595815734511,-1.2292589206696,-0.220271919309871,4
"68",1,0,0,0,0,0,1,0,0,0,0,4,3,4,4,5,6,5,5,6,3,10,10,20,60,1,2,1,2,2,2,0.166736032850461,0.705106105639075,-1.00638316408506,-1.07485879118547,-0.187297341995564,-0.727104112557179,1
"69",0,0,0,1,1,1,1,0,0,1,0,5,5,3,5,5,4,2,5,2,3,10,10,30,50,2,2,3,2,2,6,0.600523887438378,-0.80967483701778,-0.353473359768348,-1.06248973723198,-0.18849949331281,-0.727104112557179,4
"70",0,1,0,1,1,1,0,0,0,0,0,4,3,4,4,5,5,5,5,4,2,10,40,20,30,2,2,3,4,2,4,0.166736032850461,0.12860213831735,-0.173622560265308,-0.961810559683184,2.91334221636439,-0.37550625064719,2
"71",0,0,0,1,0,1,1,0,0,1,0,4,5,3,5,5,3,3,4,3,4,20,0,40,40,1,2,3,4,1,5,0.413161812692334,-0.705390601750752,0.315830822207192,-0.309654206087685,-1.20638608872395,-0.576568635520943,1
"72",1,0,0,1,1,0,0,0,0,0,0,6,3,5,3,3,7,7,7,7,7,50,5,5,40,2,2,2,2,4,3,0.103025390193396,1.95744987074302,-0.948616322135097,2.00034314006682,-0.634819073308678,-0.324979342809673,4
"73",1,0,1,1,1,0,0,0,0,0,0,4,5,2,5,5,6,4,5,4,6,25,10,35,30,2,3,1,4,4,4,0.351638501181602,0.372130988117934,0.413953410788127,0.110918621282111,-0.163807455932305,0.357651781392629,4
"74",1,0,0,1,0,0,0,0,0,0,0,6,7,3,3,7,6,5,6,7,6,20,10,20,50,2,3,2,4,7,2,1.27319038695961,1.25240507218825,-0.712401918486312,-0.296709570160577,-0.170435266636145,0.960838936013887,4
"75",0,0,0,1,0,0,0,0,0,0,0,2,7,1,2,1,4,4,3,4,5,10,10,30,50,1,2,3,3,1,2,-0.937877460907037,-0.313336298164017,-0.353473359768348,-1.06248973723198,-0.18849949331281,-0.752367566475937,1
"76",0,1,0,1,1,0,0,0,0,1,0,2,2,2,2,2,4,4,5,4,5,25,15,30,30,1,2,3,5,2,4,-1.23494644082922,0.0182904743046674,0.22629194259973,0.123575466222412,0.353566879452977,-0.199707319692195,2
"77",0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,10,10,30,50,2,3,1,3,4,3,-1.23494644082922,-0.213593357423234,-0.353473359768348,-1.06248973723198,-0.18849949331281,0.181852850437635,4
"79",0,1,0,0,1,0,0,0,0,0,0,3,2,2,2,2,4,4,4,4,4,2,0,90,8,2,4,2,3,2,2,-1.04758436608318,-0.213593357423234,3.051213601713,-1.64847753416502,-1.24274858095714,0.110761342982442,2
"80",0,0,0,1,1,1,1,0,0,0,0,5,5,2,6,6,6,6,6,6,6,30,10,35,25,2,3,3,3,2,5,0.829304974037252,1.2337687946876,0.5609440335875,0.499993231794558,-0.155376418252595,-0.220271919309871,4
"81",1,0,0,0,1,0,0,1,0,0,0,4,5,4,7,6,5,5,5,5,5,20,15,40,25,1,3,3,3,2,3,0.845640214871997,0.510087718632185,0.732211124117067,-0.253130090336541,0.343933690456022,-0.220271919309871,1
"82",1,0,1,1,1,0,1,1,1,1,0,6,6,5,6,6,7,6,7,6,7,15,5,30,50,2,3,3,3,2,8,1.31488618271213,1.60953766057536,-0.345276170938933,-0.692256498636578,-0.69684171535976,-0.220271919309871,4
"83",1,1,0,1,1,0,1,0,0,1,0,4,4,4,4,4,5,5,5,4,5,20,10,35,35,1,3,3,4,1,5,0.0707315266968203,0.326813474798029,0.266962787988754,-0.278155989230336,-0.172238493612014,-0.245535373228629,2
"84",0,0,0,1,1,0,0,0,0,1,0,2,2,1,3,2,3,2,4,3,2,10,5,25,60,2,2,3,4,1,4,-1.21581905978063,-1.00216945907138,-0.818721695896661,-1.08751563612577,-0.704671677380846,-0.576568635520943,4
"85",1,0,0,1,1,1,1,1,1,0,0,5,5,3,4,5,5,6,5,7,5,10,5,15,70,2,2,3,3,3,7,0.519873194879052,1.041274172634,-1.47163150021337,-1.09988469007927,-0.7034695260636,-0.350242796728432,4
"86",1,1,0,0,0,0,0,1,0,0,0,5,5,4,2,4,5,4,6,5,5,40,1,19,40,2,2,3,2,2,2,0.210441415720853,0.511263138533019,-0.439558588866416,1.22443749704318,-1.06678276829357,-0.727104112557179,2
"87",0,0,1,1,0,1,1,0,0,1,0,2,2,4,4,2,4,4,5,4,5,20,10,50,20,2,3,2,4,1,6,-0.950598432689107,0.0182904743046674,1.24632749446382,-0.259602408300095,-0.174041720587883,-0.245535373228629,4
"88",0,1,0,1,1,1,1,0,0,1,0,2,2,1,4,2,4,4,5,4,5,30,0,30,40,2,3,1,4,5,6,-1.1351683672213,0.0182904743046674,-0.043097736510772,0.456125960983715,-1.18832186204729,0.558714166266382,2
"89",1,1,0,0,1,0,0,0,0,1,0,5,5,4,3,5,5,5,5,4,4,30,5,15,50,2,3,2,4,3,3,0.500745813830458,0.260743029304469,-0.883669009015879,0.456413751970522,-0.669745375344762,0.156589396518876,2
"91",0,1,0,1,0,1,0,0,0,0,0,3,4,3,4,3,4,5,4,5,4,25,25,25,25,1,2,3,4,2,3,-0.387807565110236,0.13431885274443,0.177423908381292,0.155073683079761,1.38771447456492,-0.37550625064719,2
"92",1,0,0,1,0,1,1,0,0,1,0,3,3,5,5,5,5,5,5,5,5,20,20,30,30,2,3,1,4,3,5,0.121547962174474,0.510087718632185,0.218094753770315,-0.246657772372987,0.861909101499927,0.156589396518876,4
"93",1,1,0,0,0,1,1,0,0,1,0,4,5,2,5,5,5,5,5,5,4,5,5,40,50,1,3,3,4,4,4,0.351638501181602,0.444017273138625,0.0136523877790314,-1.45803666570798,-0.714905942036425,0.357651781392629,2
"94",1,1,0,0,1,0,0,0,1,1,0,7,1,7,7,7,4,5,7,6,1,10,15,10,65,2,4,1,4,2,4,1.34735328160605,0.616821918800933,-1.52049953443181,-1.06838647322192,0.330678069048341,0.286560273937437,2
"95",1,0,0,1,1,1,1,0,0,0,0,3,3,3,4,3,2,3,2,2,3,20,15,5,60,2,8,1,2,7,5,-0.501456764506875,-1.430247097707,-1.55297319099142,-0.29642177917377,0.348141220066383,2.26440738556547,3
"96",0,0,0,1,0,0,0,0,0,0,0,2,2,1,2,2,1,1,1,1,1,10,30,60,0,2,5,1,3,3,2,-1.29646975233995,-2.38463658558949,2.16042978906162,-0.950017087703304,1.87498709164209,0.642856990148508,4
"97",0,0,0,1,0,1,1,0,0,0,0,2,2,2,3,2,4,3,4,4,4,30,30,10,30,1,8,1,2,3,4,-1.1542957482699,-0.378231323756742,-0.516156741324442,0.544436084579015,1.91472199894716,1.46015784607045,3
"98",0,1,0,0,0,0,0,0,0,1,0,2,4,2,5,4,5,5,5,3,4,30,0,40,30,2,3,1,2,3,2,-0.346388553257406,0.0774687854703134,0.609812067805938,0.468495014937209,-1.18952401336454,-0.195008465391113,2
"99",0,0,0,1,1,0,1,0,0,1,0,4,6,3,5,4,2,2,2,2,2,10,10,40,40,2,3,1,4,2,5,0.317157306538693,-1.66095550953407,0.299436444548363,-1.05012068327848,-0.189701644630056,-0.0444729883548764,4
"100",1,0,0,0,0,0,0,0,0,1,0,5,3,4,4,3,5,2,1,4,4,40,10,20,30,2,3,3,2,2,2,-0.0652093035040546,-0.896424414633423,-0.124439427288819,1.25958887188921,-0.136711115917307,-0.396070850264865,4
"101",0,1,0,1,1,0,1,0,0,1,0,6,6,3,6,7,4,4,4,4,4,40,30,15,15,1,2,3,2,1,5,1.40149326524095,-0.213593357423234,0.104279406432659,1.32876983258066,1.93098299864795,-0.928166497430931,2
"102",0,0,0,1,0,1,0,0,0,1,0,3,5,2,6,5,6,2,3,2,2,20,10,60,10,1,2,3,4,2,4,0.244927118994883,-0.919601986660316,1.89923729878053,-0.247233354346601,-0.17524387190513,-0.37550625064719,1
"103",0,0,0,1,1,1,1,1,0,1,0,6,6,2,6,6,4,4,4,4,4,25,10,25,40,2,3,2,4,4,7,1.13031624817994,-0.213593357423234,-0.238956393528583,0.0985495673286172,-0.162605304615059,0.357651781392629,4
"104",1,0,0,1,1,0,0,0,1,1,0,5,6,4,5,6,6,6,6,6,6,15,5,30,50,1,5,1,4,1,5,0.985350103896029,1.2337687946876,-0.345276170938933,-0.692256498636578,-0.69684171535976,0.416531151355997,1
"105",0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,1,1,3,1,3,3,20,20,40,20,1,2,4,4,1,3,-1.80713473203292,-1.55667127426704,0.871004558087026,-0.234288718419493,0.860706950182681,-0.576568635520943,1
"106",1,1,0,1,1,0,0,0,0,0,0,6,6,6,6,6,2,6,6,4,5,10,30,10,50,2,3,1,4,3,3,1.37640949422286,0.225609724886319,-1.10411923252193,-1.01186235747077,1.88099784822832,0.156589396518876,2
"107",0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,1,2,2,2,2,2,20,10,50,20,1,8,4,4,3,3,-1.80713473203292,-1.66095550953407,1.24632749446382,-0.259602408300095,-0.174041720587883,1.81175570798044,3
"108",0,0,0,0,1,1,1,0,0,0,0,2,2,1,2,2,1,2,1,1,1,20,20,40,20,2,8,2,4,7,4,-1.29646975233995,-2.21999861925598,0.871004558087026,-0.234288718419493,0.860706950182681,2.61600524747545,3
"109",1,0,1,0,1,1,1,0,0,0,0,5,6,3,6,6,6,6,6,6,6,20,20,30,30,2,2,4,4,2,5,1.00447748494462,1.2337687946876,0.218094753770315,-0.246657772372987,0.861909101499927,-0.37550625064719,4
"110",0,0,0,0,0,1,1,0,0,0,0,1,7,1,7,7,1,1,1,1,1,10,5,80,5,1,8,1,4,2,3,0.535936160445227,-2.38463658558949,2.77228222784525,-1.01948583938155,-0.7112835096257,1.61069332310669,3
"111",0,0,1,1,0,1,1,0,0,1,0,3,5,1,6,4,1,1,1,1,1,20,20,0,60,2,3,1,4,7,6,-0.0262498980661285,-2.38463658558949,-1.74063465917982,-0.283764934233469,0.865515555451666,0.960838936013887,4
"112",1,0,1,0,1,0,0,0,0,0,0,3,5,3,3,6,6,5,5,5,6,20,10,45,25,2,3,3,5,1,3,0.274152058377918,0.720043198285598,0.919872592305464,-0.265786935276842,-0.17344064492926,-0.0697364422736346,4
"113",1,0,1,0,1,0,1,0,0,1,0,7,7,6,6,7,6,6,5,6,5,15,5,20,60,2,3,1,4,4,5,1.88707447391583,1.0018849629597,-0.998185975255643,-0.704625552590072,-0.695639564042513,0.357651781392629,4
"114",0,0,0,0,1,1,1,0,0,0,0,1,2,2,1,1,2,2,2,2,2,20,20,40,20,1,7,4,4,2,4,-1.71261291368487,-1.66095550953407,0.871004558087026,-0.234288718419493,0.860706950182681,1.27966006081438,3
"115",0,0,0,0,1,1,1,0,0,1,0,2,2,2,2,2,1,2,1,1,1,20,20,30,30,1,8,4,4,2,5,-1.23494644082922,-2.21999861925598,0.218094753770315,-0.246657772372987,0.861909101499927,1.61069332310669,3
