id,cs,alt,choice,none,price,battery1,battery2,battery3,battery4,weight1,weight2,weight3,sound1,sound2,sound3
6,9,2,0,0,110,0,0,0,0,0,0,0,0,0,0
6,9,3,1,0,90,0,0,0,1,0,1,0,0,1,0
6,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,10,1,1,0,70,0,0,0,1,1,0,0,0,1,0
6,10,2,0,0,110,0,0,0,0,0,0,0,0,0,0
6,10,3,0,0,150,0,0,1,0,0,0,1,0,0,1
6,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,11,1,0,0,150,1,0,0,0,0,0,0,0,0,1
6,11,2,1,0,130,0,1,0,0,1,0,0,0,0,0
6,11,3,0,0,130,1,0,0,0,0,1,0,0,1,0
6,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,12,1,0,0,110,1,0,0,0,0,0,1,0,0,1
6,12,2,0,0,150,0,0,1,0,0,0,0,1,0,0
6,12,3,1,0,90,0,0,0,1,0,1,0,0,1,0
6,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,110,1,0,0,0,0,0,0,0,1,0
9,1,2,0,0,150,0,0,1,0,0,1,0,0,0,1
9,1,3,1,0,70,0,0,1,0,0,0,1,0,1,0
9,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2,1,0,0,150,0,0,0,0,1,0,0,0,0,0
9,2,2,0,0,90,0,1,0,0,0,0,1,1,0,0
9,2,3,0,0,130,1,0,0,0,0,1,0,0,1,0
9,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0
9,3,1,0,0,70,0,1,0,0,0,0,1,1,0,0
9,3,2,0,0,110,0,0,0,1,0,1,0,0,0,1
9,3,3,1,0,110,0,1,0,0,1,0,0,0,0,0
9,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,4,1,0,0,70,0,0,1,0,0,0,1,1,0,0
9,4,2,1,0,90,0,0,0,0,1,0,0,0,0,1
9,4,3,0,0,130,0,0,0,1,0,0,0,0,1,0
9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,5,1,1,0,90,0,0,0,1,0,1,0,0,0,0
9,5,2,0,0,150,0,0,1,0,1,0,0,1,0,0
9,5,3,0,0,130,1,0,0,0,0,0,1,0,0,0
9,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,6,1,0,0,130,0,0,0,0,0,1,0,0,1,0
9,6,2,0,0,110,0,0,0,0,0,0,0,0,0,0
9,6,3,0,0,70,1,0,0,0,0,0,0,0,0,1
9,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0
9,7,1,0,0,150,1,0,0,0,0,0,0,0,0,1
9,7,2,0,0,130,0,0,0,0,1,0,0,1,0,0
9,7,3,1,0,70,0,0,0,1,0,0,1,0,0,0
9,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,8,1,0,0,150,0,1,0,0,0,0,1,0,1,0
9,8,2,1,0,70,0,1,0,0,1,0,0,0,0,1
9,8,3,0,0,110,0,0,1,0,0,0,0,1,0,0
9,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,9,1,1,0,110,0,0,0,1,0,1,0,0,0,0
9,9,2,0,0,90,1,0,0,0,0,0,0,0,1,0
9,9,3,0,0,90,0,0,1,0,0,0,1,1,0,0
9,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,10,1,0,0,110,0,0,1,0,1,0,0,0,1,0
9,10,2,1,0,70,0,0,0,0,0,1,0,1,0,0
9,10,3,0,0,90,1,0,0,0,1,0,0,0,0,1
9,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,11,1,0,0,130,0,0,1,0,0,0,1,0,1,0
9,11,2,1,0,90,0,0,0,1,0,1,0,0,0,1
9,11,3,0,0,150,0,0,0,0,1,0,0,0,0,0
9,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
9,12,1,0,0,130,0,0,0,1,0,0,0,0,0,1
9,12,2,0,0,90,0,1,0,0,0,1,0,1,0,0
9,12,3,0,0,110,1,0,0,0,0,0,1,1,0,0
9,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,70,0,1,0,0,1,0,0,0,0,1
11,1,2,0,0,150,1,0,0,0,0,0,1,1,0,0
11,1,3,1,0,110,0,0,1,0,1,0,0,0,0,0
11,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2,1,0,0,70,0,1,0,0,0,1,0,1,0,0
11,2,2,0,0,90,0,0,0,0,0,0,0,0,1,0
11,2,3,1,0,130,0,0,0,0,0,0,1,0,0,0
11,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,3,1,1,0,70,0,0,0,1,1,0,0,0,0,1
11,3,2,0,0,90,0,0,1,0,0,0,0,0,0,0
11,3,3,0,0,130,0,1,0,0,0,1,0,0,0,1
11,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,4,1,1,0,90,0,0,1,0,0,0,1,0,0,1
